,pm_conc,co_conc,o3_conc,aqi
2005-01-01,0.89852625,0.046183113,25.747099,25.747098922729492
2005-02-01,1.1231159,0.047750667,25.73444,25.734439849853516
2005-03-01,0.57473195,0.045282785,24.883772,24.883771896362305
2005-04-01,0.93978316,0.050202113,25.288557,25.288557052612305
2005-05-01,0.27556816,0.04981754,25.438364,25.438364028930664
2005-06-01,0.34211102,0.052036326,25.695505,25.695505142211914
2005-07-01,0.20152976,0.054788314,26.933302,26.93330192565918
2005-08-01,0.17777446,0.05852018,26.733892,26.7338924407959
2005-09-01,0.42598242,0.06883411,28.265211,28.26521110534668
2005-10-01,0.5656206,0.071345806,28.018702,28.018701553344727
2005-11-01,0.6473217,0.063929245,27.625761,27.625761032104492
2005-12-01,1.2176558,0.053929742,26.687696,26.68769645690918
2006-01-01,0.9964245,0.047626767,25.723307,25.72330665588379
2006-02-01,0.9288935,0.047080833,25.205822,25.205821990966797
2006-03-01,0.6530427,0.045327287,25.22327,25.223270416259766
2006-04-01,0.52152866,0.046251114,24.77051,24.770509719848633
2006-05-01,0.49486214,0.048379652,24.349012,24.34901237487793
2006-06-01,0.43328375,0.047794744,24.930315,24.930315017700195
2006-07-01,0.363244,0.050678123,25.205572,25.2055721282959
2006-08-01,0.25599337,0.054814942,26.579432,26.579431533813477
2006-09-01,0.37855333,0.06066937,26.751896,26.751895904541016
2006-10-01,0.60642385,0.06499681,26.806715,26.80671501159668
2006-11-01,0.6379469,0.05963412,26.527191,26.527191162109375
2006-12-01,0.8855305,0.056068677,25.609446,25.609445571899414
2007-01-01,1.0660827,0.053462155,25.361364,25.361364364624023
2007-02-01,0.61801106,0.048492968,25.101515,25.10151481628418
2007-03-01,0.6648501,0.048291627,25.254164,25.25416374206543
2007-04-01,0.5757938,0.04796882,25.100904,25.10090446472168
2007-05-01,0.4501646,0.049383022,25.924734,25.924734115600586
2007-06-01,0.71904063,0.052084345,26.263355,26.263355255126953
2007-07-01,0.42953372,0.05578253,28.01117,28.01116943359375
2007-08-01,0.37833053,0.05809409,27.869648,27.869647979736328
